"X","name","url","rating","vote","phone","address","collection","cuisinetype","knownfor","orderwhat","cost","highlight","coordifinal","area"
15,"Glen's Bakehouse ","https://www.zomato.com/bangalore/glens-bakehouse-indiranagar",4.1,1900,"080 41228773"", ""080 41228773""","297, 100 Feet Road, Indiranagar, BangaloreIndia    ","Hot Chocolate Spots and Cakes & Bakes ","Bakery, Desserts, Cafe, American","Their wide variety of desserts            ","",800,"No Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditioned,Outdoor Seating,Desserts and Bake","12.9793470000,77.6406570000"," Indiranagar"
16,"The Black Pearl ","https://www.zomato.com/bangalore/the-black-pearl-koramangala",3.8,3745,"080 49653181"", ""080 49653181""","105, 1st A Cross Road, Jyothi Nivas College Road, 5th Block, Koramangala, BangaloreIndia    ","Rooftops, Live Music and Great Buffets ","North Indian, European, Mediterranean","Their unique pirate themed setting            ","Veg. Seekh Kabab, Mutton Kebabs, Chicken Tangdi            ",749,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Wifi Available,Live Performances,Outdoor Seating,Smoking Are","12.9347490000,77.6159460000"," Koramangala"
17,"Windmills Craftworks ","https://www.zomato.com/bangalore/windmills-craftworks-whitefield",4.6,2536,"+91 8880233322"", ""+91 8880233322""","#331, Road No 5B, EPIP Area, Next to K.T.P.O, Whitefield, Bangalore 560048India    ","Microbreweries, Live Music and Cocktail Bars ","American, North Indian","Their one of a kind jazz theatre and ambiance            ","Double Cheese Burger, Beer Batter Fish & Chips, Mushroom Galouti Kebab            ",500,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Wheelchair Accessible,Air Conditioned,Wifi Available,Live Performances,Outdoor Seating,Smoking Area,Nightlife,Microbrewery,Pu","12.9824305556,77.7218861111"," Whitefield"
18,"SodaBottleOpenerWala ","https://www.zomato.com/bangalore/sodabottleopenerwala-lavelle-road",4,650,"+91 7022255299"", ""+91 7022255299""","25/4, Opposite Harley Davidson Showroom, Lavelle Road, BangaloreIndia    ","","Parsi, Iranian","Authentic Parsi and Bombay Street Food dishes in a setting reminiscent of the iconic Irani Cafes of Bombay            ","",300,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditione","12.9705840000,77.5975330000"," Lavelle Road"
19,"Vapour Pub & Brewery ","https://www.zomato.com/bangalore/vapour-pub-brewery-indiranagar",3.9,2851,"080 49653329"", ""080 49653329""","773, 2nd Stage, HAL, 100 Feet Road, Indiranagar, BangaloreIndia    ","Microbreweries, Rooftops and Live Music ","North Indian, Continental, Chinese","It's brewery, especially the home brewed wheat beer.            ","Murgh Awadhi Tikka, Gosht Galouti Kebab, Chilly Chicken, Magic Wings            ",500,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Wifi Available,Live Performances,Outdoor Seating,Nightlife,Microbrewery,Pu","12.9696510000,77.6412070000"," Indiranagar"
20,"The Egg Factory ","https://www.zomato.com/bangalore/the-egg-factory-jp-nagar",3.7,743,"080 40124848"", ""080 40124848""","288, Ground Floor, Opposite HP Petrol Pump, 15th Cross, 18th Main, 5th Phase, JP Nagar, BangaloreIndia    ","Great Breakfasts","Continental, Mexican","Egg lovers, this is the place for you !!            ","",650,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditioned,Outdoor Seating,Breakfas","12.9061200000,77.5907710000"," JP Nagar"
21,"The Glass House - Deli Bistro Bar ","https://www.zomato.com/TheGlassHouse",4.1,1155,"080 65419999 +91 9880322266"", ""080 65419999"", "" +91 9880322266""","25/2, Lavelle Road, BangaloreIndia    ","Romantic, Wine Bars and Cocktail Bars ","American, Continental, Japanese, European","Romantic ambience, with an integration of greenery and glass, and their diverse menu.            ","",650,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Wheelchair Accessible,Live Performances,Smoking Area,Nightlife,Live Sports Screenin","12.9702210000,77.5975830000"," Lavelle Road"
22,"Soho St. ","https://www.zomato.com/bangalore/soho-st-btm",3.9,1136,"080 49652622"", ""080 49652622""","3, Hosur Main Road, Venkateshwara Layout, Sadduguntepalya, BTM, BangaloreIndia    ","Great Buffets","North Indian, Chinese, Italian, Thai, Japanese, Continental","their extensive buffet spread            ","",889,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditione","12.9351666667,77.6093333333"," BTM"
23,"Berry'd Alive ","https://www.zomato.com/bangalore/berryd-alive-koramangala",4.4,961,"+91 9611279966 +91 9986142434"", ""+91 9611279966"", "" +91 9986142434""","139, Ground Floor, Terra Tree Service Apartments, 1st Cross, Jyoti Nivas College Road, 5th Block, KoramangalaIndia    ","Sweet Tooth and The GC Collection ","Desserts, Cafe","their Hazelnut Creme Pot            ","",400,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Air Conditioned,Wifi Available,Desserts and Bake","12.9337055556,77.6209555556"," 5th Block"
24,"Cup O' Joe ","https://www.zomato.com/bangalore/cup-o-joe-koramangala",4,681,"080 49652829"", ""080 49652829""","483, 1A Cross Road, 5th Block, Koramangala, Bangalore 560095India    ","Great Coffee, Student Faves and Hot Chocolate Spots ","European, Mexican, Cafe","Their wide variety of pastas and burgers            ","",700,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Wifi Available,Live Performances,Outdoor Seating,Smoking Are","12.9338333333,77.6188333333"," Koramangala"
25,"Chinita Real Mexican Food ","https://www.zomato.com/bangalore/chinita-real-mexican-food-indiranagar",4.7,1085,"+91 9686551896 080 41637107"", ""+91 9686551896"", "" 080 41637107""","218, Near BDA Complex, Double Road, Indiranagar, BangaloreIndia    ","Mexican Magic","Mexican","Authentic Mexican Cuisine            ","",200,"No Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Outdoor Seatin","12.9810600000,77.6372500000"," Indiranagar"
26,"The Fatty Bao - Asian Gastro Bar ","https://www.zomato.com/bangalore/the-fatty-bao-indiranagar",4.4,1376,"+91 8044114499"", ""+91 8044114499""","610, 3rd Floor, 12th Main, Off 80 Feet Road, Indiranagar, BangaloreIndia    ","Rooftops, Pan-Asian Delicacies and The GC Collection ","Asian","Their Char Siu Bao            ","Shaking Beef, Char Siu Bao, Ramen            ",400,"No Home Delivery,Dine-In Available,Serves Non Veg,Full Bar Available,Air Conditioned,Outdoor Seating,Smoking Area,Nightlif","12.9705555556,77.6452777778"," Indiranagar"
27,"High Ultra Lounge ","https://www.zomato.com/bangalore/high-ultra-lounge-malleshwaram",4.4,1577,"080 49653540"", ""080 49653540""","26/1 , 31st Floor, Dr. Rajkumar Road, World Trade Centre, Brigade Gateway Campus, Malleshwaram, BangaloreIndia    ","Sunday Brunches, Rooftops and Pan-Asian Delicacies ","Japanese, Thai, Chinese, Korean","being the highest lounge of South India with a breathtaking view 430 feet above the ground.            ","The Banoffee Pie, The Thai Green Vegetable Curry, Spicy Jumbo Prawns, Salmon Avocado Roll With Tenkasu And Kizami, Vietnamese Spring Rolls            ",1999,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Wifi Available,Outdoor Seating,Smoking Area,Nightlif","13.0121030000,77.5564460000"," Malleshwaram"
28,"Barleyz ","https://www.zomato.com/barleyz",3.6,2588,"080 49653421"", ""080 49653421""","2/3, Above Pantaloons, Sony World Junction, 80 Feet Road, Koramangala, BangaloreIndia    ","Microbreweries, Rooftops and Great Buffets ","North Indian, Continental, Chinese","Their music and open sky experience            ","Pesto Thin Crust Pizza, Prawns, Chicken Kebab, Dhaniya Based Chicken, Potato Wedges            ",225,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Live Performances,Outdoor Seating,Smoking Area,Nightlife,Microbrewer","12.9375960000,77.6270150000"," Koramangala"
29,"Berry'd Alive ","https://www.zomato.com/bangalore/berryd-alive-indiranagar",4.4,1597,"+91 9620969017 +91 9611279911"", ""+91 9620969017"", "" +91 9611279911""","1079, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, BangaloreIndia    ","Sweet Tooth","Desserts, Cafe","their Hazelnut Creme Pot            ","",400,"Home Delivery,Dine-In Available,Serves Non Veg,Bar Not Available,Wheelchair Accessible,Air Conditioned,Wifi Available,Outdoor Seating,Desserts and Bake","12.9700060000,77.6382510000"," Indiranagar"
30,"Hard Rock Cafe ","https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road",4.5,2797,"080 49652913"", ""080 49652913""","40, Opposite LIC Building, Off MG Road, St. Marks Road, BangaloreIndia    ","Kickass Burgers, Live Music and Cocktail Bars ","American","Music gigs in town with rock centric ambience and burgers            ","Non Vegetarian Jumbo Combo, Legendary 10 Oz Burger, Hard Rock Nachos            ",500,"No Home Delivery,Dine-In Available,Serves Non Veg,Serves Alcohol,Air Conditioned,Live Performances,Outdoor Seating,Smoking Area,Breakfast,Nightlife,Karaoke,Live Sports Screenin","12.9760880000,77.6016730000"," St. Marks Road"
